features,class
"[-283.57486    159.88292    -40.500633    38.762043    33.66257
   -3.0955422  -15.109317    -5.195923   -18.796463    11.353093
  -11.081234    -2.665376     2.5433245   -4.115864    -8.850385
    9.830398    -4.580265    -4.821284    -1.4910412    6.5670085
   -2.9301543   -2.5084813   -5.8289933  -11.802502    -1.051451
   -8.168583    -4.6714373   -8.539002    -7.463994   -14.506245
   -5.613678    -2.5862405   -7.100294    -2.153828    -2.1598017
   -5.0929933   -5.2931294   -1.5221794   -4.0566435   -4.4972258]",Arjun
"[-3.4678625e+02  1.4513971e+02 -2.8967207e+01  3.6969395e+01
  1.3902414e+01  4.6461377e+00 -9.0289450e+00  6.1628499e+00
 -4.3041573e+00  1.2997689e+01 -6.0450058e+00 -6.3328493e-01
 -4.9062309e-01 -1.3595222e+00 -4.8036280e+00  5.7521496e+00
 -2.6449354e+00  3.7590759e+00 -3.0526710e-01 -1.4161223e-01
 -4.8012748e+00  1.4759813e-01 -3.2628450e+00 -7.1381183e+00
 -1.2909278e+00 -5.6979837e+00 -5.1729183e+00 -6.9978428e+00
 -3.7618759e+00 -9.5459499e+00 -1.8400441e+00 -1.1029269e+00
 -4.6142077e+00 -1.8104151e+00 -1.6570153e+00 -3.4822366e+00
 -8.7179548e-01 -4.0181831e-01  5.5636700e-02 -4.4057992e-01]",Arjun
"[-3.0381067e+02  1.4353069e+02 -1.6810814e+01  3.5657467e+01
  8.1070547e+00  4.6582351e+00 -1.2876899e+01  1.1166028e+00
 -1.9770432e+01  1.1789621e+01 -6.5027742e+00  1.4816333e+00
  6.6362433e-02 -1.8634124e+00 -5.6016722e+00  7.7147708e+00
 -5.0477853e+00 -5.3825116e+00  1.4641873e+00  2.5730686e+00
 -4.8932796e+00 -3.8958137e+00 -6.1655183e+00 -9.5158920e+00
 -1.2662506e+00 -7.9728160e+00 -5.1190791e+00 -7.0058718e+00
 -5.9641323e+00 -1.2623017e+01 -4.9921918e+00 -2.6491195e-01
 -9.2246084e+00 -3.8060262e+00 -3.0464294e+00 -5.4429092e+00
 -4.2771411e+00 -6.2732852e-01 -2.1013609e-01 -3.2379055e-01]",Arjun
"[-3.49043427e+02  1.52101746e+02 -1.62862625e+01  3.42658615e+01
  1.76840172e+01  6.63579845e+00 -1.11816769e+01  1.66271031e+00
 -4.68682909e+00  9.66345119e+00 -7.39405394e+00 -1.30189693e+00
 -2.29495025e+00 -1.55292463e+00 -7.73445463e+00  5.10547829e+00
  3.26260614e+00 -9.89916027e-01 -4.49765539e+00  4.48937178e+00
 -2.56674862e+00 -3.62975788e+00 -1.66470110e+00 -5.24136305e+00
 -1.90978098e+00 -3.18951774e+00 -5.36586571e+00 -8.62007809e+00
 -6.76132965e+00 -1.01149435e+01 -3.80999923e+00 -1.59669638e-01
 -5.08288670e+00 -4.49361181e+00 -9.55639422e-01 -1.60438037e+00
 -2.74063849e+00  7.79227078e-01  5.47681928e-01 -3.16643047e+00]",Arjun
"[-2.4524513e+02  1.3923817e+02 -3.2858013e+01  3.8325485e+01
  2.2742004e+01  8.5313606e+00 -2.6692005e+01 -5.2454982e+00
 -2.3863111e+01  8.5867662e+00 -6.2422924e+00 -4.3513030e-01
 -1.3983163e+00  2.9779825e+00 -8.8477163e+00  1.0344827e+01
 -8.1253119e+00 -1.8045800e+00 -2.7082541e+00  1.7427367e-01
 -6.4419584e+00 -2.0076394e+00 -1.0018261e+01 -1.0253511e+01
 -5.2090864e+00 -6.4894915e+00 -7.0119338e+00 -8.6950617e+00
 -6.0636616e+00 -1.3022546e+01 -6.1073699e+00 -1.3460923e+00
 -7.1368394e+00 -1.7372239e+00 -2.6453168e+00 -3.7295539e+00
 -7.8572712e+00 -1.6303787e+00 -4.6992130e+00 -4.4457245e+00]",Arjun
"[-2.8789267e+02  1.5869264e+02 -1.9656313e+01  3.6369839e+01
  5.5374341e+00  8.8421482e-01 -9.7095270e+00  5.2287847e-01
 -1.9462746e+01  2.8381586e+00 -5.7913260e+00  6.5559320e-02
  2.7178214e+00  1.0285763e+00 -7.8576126e+00  7.5435987e+00
 -3.7893035e+00 -3.9319055e+00 -1.7228459e+00 -4.7013018e-01
 -3.3436587e+00 -3.1656663e+00 -4.7329130e+00 -9.1095123e+00
 -4.6601925e+00 -5.5668187e+00 -5.1428661e+00 -6.9121156e+00
 -7.7862186e+00 -1.2459031e+01 -8.2657051e+00 -3.0780518e+00
 -7.4564571e+00 -1.5765666e+00 -1.7680033e+00 -2.8394873e+00
 -3.7898142e+00 -4.0623856e-01 -4.3344221e-01 -4.1212254e+00]",Arjun
"[-276.37177     149.93593     -33.323116     22.2358       -1.2465019
    0.56083417  -27.547163     15.197382     -9.112499     15.614196
    8.702274      8.760753      4.4769235     0.44341964   -8.483781
    3.2401998    -5.6636715     4.987892      2.1231763     0.4293517
  -11.87482      -3.394045      0.64213854   -3.6817918    -4.0595737
   -3.6250489    -1.1662939    -3.9743402    -2.3576276    -3.86231
   -3.1900961    -3.0397928    -0.49407724   -1.5542127    -4.182724
   -3.4926069    -2.746943     -2.301196      1.0994858    -0.98055834]",Arjun
"[-2.9402991e+02  1.4436606e+02 -2.8063093e+01  4.2479588e+01
  2.7714916e+01  8.0257912e+00 -1.8248028e+01 -6.4080262e+00
 -1.8966431e+01  1.3481461e+01 -9.0510626e+00 -1.3779889e-01
 -3.3446226e+00 -4.0095716e+00 -7.1634998e+00  9.0726576e+00
 -5.1170049e+00 -2.4905436e+00 -2.7584741e+00  4.1253872e+00
 -3.5049746e+00 -1.6346211e+00 -6.4434171e+00 -9.2990284e+00
 -1.1810049e+00 -8.0175190e+00 -4.8846550e+00 -9.1723061e+00
 -6.9528532e+00 -1.1778173e+01 -6.7100301e+00 -1.0197460e-01
 -6.0208635e+00 -1.7134913e+00 -2.4564326e+00 -3.6637053e+00
 -2.5388014e+00 -7.7341902e-01 -2.0384481e+00 -2.5694695e+00]",Arjun
"[-282.32425     176.61246     -36.78038      32.474995     18.17359
   -4.8879414   -19.182383      0.9461429   -20.21486       7.4343762
   -3.6868398    -1.1935272     4.633489     -2.329983     -9.889405
    3.9940684    -5.493092    -10.327962     -1.2114549     5.2927027
   -5.917488     -1.7047995    -3.2856758    -8.694581     -0.5012123
   -4.6009755    -5.9411054    -6.018871     -8.121708    -14.456012
   -7.389531     -2.5645719    -6.028697     -4.0317135    -2.1949396
   -4.937587     -3.5055482    -0.95380217   -1.7680879    -1.9525577 ]",Arjun
"[-2.8623645e+02  1.5645517e+02 -3.5166939e+01  3.8501286e+01
  1.9975466e+01  2.4438090e+00 -1.3298211e+01  4.3397868e-01
 -2.4279564e+01  6.0813842e+00 -7.4951100e+00 -1.1239948e-01
  2.2920170e+00 -5.1062031e+00 -8.8766165e+00  6.5053024e+00
 -3.3386054e+00 -2.9871199e+00 -1.2228247e+00 -4.9561232e-01
 -2.8477349e+00 -2.0694656e+00 -6.9127684e+00 -9.4236994e+00
 -1.3038491e+00 -7.1978912e+00 -4.3463140e+00 -6.8880534e+00
 -7.9746151e+00 -1.5338025e+01 -6.5385547e+00 -1.6526524e+00
 -7.6407237e+00 -1.2774432e+00 -1.2863644e+00 -3.0769470e+00
 -3.6454957e+00 -8.3615494e-01 -1.3074936e+00 -4.4658351e+00]",Arjun
